PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,0.0,3,0,2,1,0,7.25,0
2,1.0,1,1,3,1,0,71.2833,1
3,1.0,3,1,2,0,0,7.925,0
4,1.0,1,1,2,1,0,53.1,0
5,0.0,3,0,2,0,0,8.05,0
6,0.0,3,0,2,0,0,8.4583,2
7,0.0,1,0,3,0,0,51.8625,0
8,0.0,3,0,0,3,1,21.075,0
9,1.0,3,1,2,0,2,11.1333,0
10,1.0,2,1,1,1,0,30.0708,1
11,1.0,3,1,0,1,1,16.7,0
12,1.0,1,1,3,0,0,26.55,0
13,0.0,3,0,2,0,0,8.05,0
14,0.0,3,0,3,1,5,31.275,0
15,0.0,3,1,1,0,0,7.8542,0
16,1.0,2,1,3,0,0,16.0,0
17,0.0,3,0,0,4,1,29.125,2
18,1.0,2,0,2,0,0,13.0,0
19,0.0,3,1,2,1,0,18.0,0
20,1.0,3,1,2,0,0,7.225,1
21,0.0,2,0,2,0,0,26.0,0
22,1.0,2,0,2,0,0,13.0,0
23,1.0,3,1,1,0,0,8.0292,2
24,1.0,1,0,2,0,0,35.5,0
25,0.0,3,1,0,3,1,21.075,0
26,1.0,3,1,3,1,5,31.3875,0
27,0.0,3,0,2,0,0,7.225,1
28,0.0,1,0,2,3,2,14.4542,0
29,1.0,3,1,2,0,0,7.8792,2
30,0.0,3,0,2,0,0,7.8958,0
31,0.0,1,0,3,0,0,27.7208,1
32,1.0,1,1,2,1,0,14.4542,1
33,1.0,3,1,2,0,0,7.75,2
34,0.0,2,0,4,0,0,10.5,0
35,0.0,1,0,2,1,0,82.1708,1
36,0.0,1,0,3,1,0,52.0,0
37,1.0,3,0,2,0,0,7.2292,1
38,0.0,3,0,2,0,0,8.05,0
39,0.0,3,1,1,2,0,18.0,0
40,1.0,3,1,1,1,0,11.2417,1
41,0.0,3,1,3,1,0,9.475,0
42,0.0,2,1,2,1,0,21.0,0
43,0.0,3,0,2,0,0,7.8958,1
44,1.0,2,1,0,1,2,41.5792,1
45,1.0,3,1,2,0,0,7.8792,2
46,0.0,3,0,2,0,0,8.05,0
47,0.0,3,0,2,1,0,15.5,2
48,1.0,3,1,2,0,0,7.75,2
49,0.0,3,0,2,2,0,21.6792,1
50,0.0,3,1,1,1,0,17.8,0
51,0.0,3,0,0,4,1,39.6875,0
52,0.0,3,0,2,0,0,7.8,0
53,1.0,1,1,3,1,0,76.7292,1
54,1.0,2,1,2,1,0,26.0,0
55,0.0,1,0,4,0,1,61.9792,1
56,1.0,1,0,2,0,0,35.5,0
57,1.0,2,1,2,0,0,10.5,0
58,0.0,3,0,2,0,0,7.2292,1
59,1.0,2,1,0,1,2,27.75,0
60,0.0,3,0,0,5,2,46.9,0
61,0.0,3,0,2,0,0,7.2292,1
62,1.0,1,1,3,0,0,80.0,0
63,0.0,1,0,3,1,0,83.475,0
64,0.0,3,0,0,3,2,27.9,0
65,0.0,1,0,2,0,0,27.7208,1
66,1.0,3,0,2,1,1,15.2458,1
67,1.0,2,1,2,0,0,10.5,0
68,0.0,3,0,2,0,0,8.1583,0
69,1.0,3,1,1,4,2,7.925,0
70,0.0,3,0,2,2,0,8.6625,0
71,0.0,2,0,2,0,0,10.5,0
72,0.0,3,1,1,5,2,46.9,0
73,0.0,2,0,2,0,0,73.5,0
74,0.0,3,0,2,1,0,14.4542,1
75,1.0,3,0,2,0,0,56.4958,0
76,0.0,3,0,2,0,0,7.65,0
77,0.0,3,0,2,0,0,7.8958,0
78,0.0,3,0,2,0,0,8.05,0
79,1.0,2,0,0,0,2,29.0,0
80,1.0,3,1,2,0,0,12.475,0
81,0.0,3,0,2,0,0,9.0,0
82,1.0,3,0,2,0,0,9.5,0
83,1.0,3,1,2,0,0,7.7875,2
84,0.0,1,0,2,0,0,47.1,0
85,1.0,2,1,1,0,0,10.5,0
86,1.0,3,1,2,3,0,15.85,0
87,0.0,3,0,1,1,3,34.375,0
88,0.0,3,0,2,0,0,8.05,0
89,1.0,1,1,2,3,2,14.4542,0
90,0.0,3,0,2,0,0,8.05,0
91,0.0,3,0,2,0,0,8.05,0
92,0.0,3,0,2,0,0,7.8542,0
93,0.0,1,0,3,1,0,61.175,0
94,0.0,3,0,2,1,2,20.575,0
95,0.0,3,0,3,0,0,7.25,0
96,0.0,3,0,2,0,0,8.05,0
97,0.0,1,0,4,0,0,34.6542,1
98,1.0,1,0,2,0,1,63.3583,1
99,1.0,2,1,2,0,1,23.0,0
100,0.0,2,0,2,1,0,26.0,0
101,0.0,3,1,2,0,0,7.8958,0
102,0.0,3,0,2,0,0,7.8958,0
103,0.0,1,0,2,0,1,77.2875,0
104,0.0,3,0,2,0,0,8.6542,0
105,0.0,3,0,3,2,0,7.925,0
106,0.0,3,0,2,0,0,7.8958,0
107,1.0,3,1,2,0,0,7.65,0
108,1.0,3,0,2,0,0,7.775,0
109,0.0,3,0,3,0,0,7.8958,0
110,1.0,3,1,2,1,0,24.15,2
111,0.0,1,0,3,0,0,52.0,0
112,0.0,3,1,1,1,0,14.4542,1
113,0.0,3,0,2,0,0,8.05,0
114,0.0,3,1,2,1,0,9.825,0
115,0.0,3,1,1,0,0,14.4583,1
116,0.0,3,0,2,0,0,7.925,0
117,0.0,3,0,4,0,0,7.75,2
118,0.0,2,0,2,1,0,21.0,0
119,0.0,1,0,2,0,1,14.4542,1
